Year,txtDSN,txtCSO,SumOfnumVolume,Events,txtWaterBody
1998,048b,North Beach Inlet,3240000.00,13,Puget Sound
1998,27a-1,Denny Way Local,97970000.00,41,Elliott Bay/Puget Sound
1998,27a-2,Denny Way Lake Union,327090000.00,55,Elliott Bay/Puget Sound
1998,27a-3,Interbay,70510000.00,20,Elliott Bay/Puget Sound
1999,003,Ballard,2170000.00,4,Lake Washington Ship Canal
1999,004,11th Ave. NW,12199000.00,15,Lake Washington Ship Canal
1999,006,Magnolia S,650000.00,5,Elliott Bay/Puget Sound
1999,007,Canal St.,30000.00,1,Lake Washington Ship Canal
1999,008,3rd Ave. W,7100000.00,9,Lake Washington Ship Canal
1999,009,Dexter,6300000.00,11,Lake Union
1999,013,MLK Jr. Way,9960000.00,10,Lake Washington
1999,014,Montlake,1000000.00,2,Lake Washington Ship Canal
1999,015,University,46300174.00,7,Lake Washington Ship Canal
1999,028,King Street,32480000.00,14,Elliott Bay/Puget Sound
1999,030,Lander St.,57850000.00,14,Duwamish River/East Waterway
1999,031a,Hanford @ Rainier,7780000.00,5,Duwamish River/East Waterway
1999,032,Hanford #2,323950000.00,18,Duwamish River/East Waterway
1999,036,Chelan,3610000.00,7,Duwamish River/West Waterway
1999,039,Michigan St.,15250000.00,10,Duwamish River
1999,041,Brandon St.,24620000.00,32,Duwamish River
1999,042,Michigan W,910000.00,4,Duwamish River
1999,045,Henderson,20090000.00,32,Lake Washington
1999,048b,North Beach Inlet,4940000.00,10,Puget Sound
1999,27a-1,Denny Way Local,49500000.00,42,Elliott Bay/Puget Sound
1999,27a-2,Denny Way Lake Union,419550000.00,67,Elliott Bay/Puget Sound
1999,27a-3,Interbay,55580000.00,18,Elliott Bay/Puget Sound
2000,003,Ballard,80000.00,2,Lake Washington Ship Canal
2000,004,11th Ave. NW,4010000.00,4,Lake Washington Ship Canal
2000,008,3rd Ave. W,490000.00,4,Lake Washington Ship Canal
2000,009,Dexter,3423680.00,9,Lake Union
2000,014,Montlake,280000.00,1,Lake Washington Ship Canal
2000,028,King Street,8030000.00,10,Elliott Bay/Puget Sound
2000,030,Lander St.,16180000.00,11,Duwamish River/East Waterway
2000,032,Hanford #2,18730000.00,17,Duwamish River/East Waterway
2000,034,Duwamish E,80000.00,1,Duwamish River
2000,039,Michigan St.,4920000.00,9,Duwamish River
2000,041,Brandon St.,18220000.00,28,Duwamish River
2000,042,Michigan W,100000.00,1,Duwamish River
2000,044a,Norfolk St.,10000.00,1,Duwamish River
2000,045,Henderson,6700000.00,14,Lake Washington
2000,048b,North Beach Inlet,600000.00,4,Puget Sound
